modelo,hf,vocab,fertilidad,p95_subtokens,trunc_128,unk_total,jerga_1token,jerga_pct,frag_jerga,frag_ofuscacion
RoBERTuito,pysentimiento/robertuito-base-cased,30000,1.4701893574702578,67.0,0.010261194029850746,0,108,5.616224648985959,3.8237129485179406,2.608695652173913
BERTIN,bertin-project/bertin-roberta-base-spanish,50262,1.5462374509600034,68.0,0.010727611940298507,0,19,0.9880395215808633,4.161726469058762,2.6956521739130435
BETO,dccuchile/bert-base-spanish-wwm-cased,31002,1.5983974265947956,70.0,0.01166044776119403,588,86,4.472178887155486,4.1866874674987,2.8260869565217392
XLM-R base,xlm-roberta-base,250002,1.6961472703320601,74.0,0.012126865671641791,3,45,2.3400936037441498,3.9609984399375975,2.4782608695652173
TwitterXLM-R,cardiffnlp/twitter-xlm-roberta-base,250002,1.6961472703320601,74.0,0.012126865671641791,3,45,2.3400936037441498,3.9609984399375975,2.4782608695652173
XLM-R large,xlm-roberta-large,250002,1.6961472703320601,74.0,0.012126865671641791,3,45,2.3400936037441498,3.9609984399375975,2.4782608695652173
mBERT,bert-base-multilingual-cased,119547,1.8046277227122938,79.0,0.013526119402985074,45,31,1.6120644825793031,4.132085283411336,2.652173913043478
mDeBERTa-v3,microsoft/mdeberta-v3-base,250102,1.851460233264827,82.0,0.014458955223880597,45,40,2.080083203328133,4.041601664066563,2.5652173913043477
